epsilon_L,epsilon_R,lambda,TUR,I,I_var,J_QH,P,eff,sigma,omega,u_intra,u_inter,V_B,gammaL,gammaR,T_L,T_R
33.333333,34.333333,0.727273,3.316128,0.00036,0.000402,0.021182,0.017996,0.849558,0.001068,0.105,500,300,50,0.1,0.1,10,1
55.555556,56.555556,0.727273,22.944626,4.2e-05,4.2e-05,0.003377,0.002083,0.6168,0.000956,0.105,500,300,50,0.1,0.1,10,1
77.777778,78.777778,0.727273,42.954631,5e-06,5e-06,0.000467,0.000226,0.484094,0.000194,0.105,500,300,50,0.1,0.1,10,1
100.0,101.0,0.727273,62.956773,0.0,0.0,6.1e-05,2.4e-05,0.398381,3.1e-05,0.105,500,300,50,0.1,0.1,10,1
-100.0,-99.0,0.818182,,,,,,,,0.105,500,300,50,0.1,0.1,10,1
-77.777778,-76.777778,0.818182,,,,,,,,0.105,500,300,50,0.1,0.1,10,1
-55.555556,-54.555556,0.818182,,,,,,,,0.105,500,300,50,0.1,0.1,10,1
-33.333333,-32.333333,0.818182,,,,,,,,0.105,500,300,50,0.1,0.1,10,1
-11.111111,-10.111111,0.818182,,,,,,,,0.105,500,300,50,0.1,0.1,10,1
11.111111,12.111111,0.818182,,,,,,,,0.105,500,300,50,0.1,0.1,10,1
33.333333,34.333333,0.818182,3.306567,0.000417,0.000467,0.024563,0.020873,0.849741,0.001235,0.105,500,300,50,0.1,0.1,10,1
55.555556,56.555556,0.818182,22.9324,4.8e-05,4.8e-05,0.003918,0.002417,0.616897,0.001109,0.105,500,300,50,0.1,0.1,10,1
77.777778,78.777778,0.818182,42.943017,5e-06,5e-06,0.000541,0.000262,0.484154,0.000225,0.105,500,300,50,0.1,0.1,10,1
100.0,101.0,0.818182,62.945291,1e-06,1e-06,7.1e-05,2.8e-05,0.398421,3.6e-05,0.105,500,300,50,0.1,0.1,10,1
-100.0,-99.0,0.909091,,,,,,,,0.105,500,300,50,0.1,0.1,10,1
-77.777778,-76.777778,0.909091,,,,,,,,0.105,500,300,50,0.1,0.1,10,1
-55.555556,-54.555556,0.909091,,,,,,,,0.105,500,300,50,0.1,0.1,10,1
-33.333333,-32.333333,0.909091,,,,,,,,0.105,500,300,50,0.1,0.1,10,1
-11.111111,-10.111111,0.909091,,,,,,,,0.105,500,300,50,0.1,0.1,10,1
11.111111,12.111111,0.909091,,,,,,,,0.105,500,300,50,0.1,0.1,10,1
33.333333,34.333333,0.909091,3.298879,0.000471,0.000527,0.027728,0.023566,0.849893,0.001389,0.105,500,300,50,0.1,0.1,10,1
55.555556,56.555556,0.909091,22.922486,5.5e-05,5.5e-05,0.004426,0.00273,0.616977,0.001253,0.105,500,300,50,0.1,0.1,10,1
77.777778,78.777778,0.909091,42.933426,6e-06,6e-06,0.000612,0.000296,0.484203,0.000254,0.105,500,300,50,0.1,0.1,10,1
100.0,101.0,0.909091,62.935771,1e-06,1e-06,8.1e-05,3.2e-05,0.398455,4e-05,0.105,500,300,50,0.1,0.1,10,1
-100.0,-99.0,1.0,,,,,,,,0.105,500,300,50,0.1,0.1,10,1
